noise_type,noise_level,accuracy,precision,recall,f1,model
gaussian,0.01,0.1609655172413793,0.5181865124462134,0.1609655172413793,0.17458404831276989,CNN
gaussian,0.05,0.27655172413793105,0.5626513312656651,0.276551724137931,0.2264581914171919,CNN
gaussian,0.1,0.10179310344827586,0.18201702220618568,0.10179310344827586,0.045999899907281795,CNN
salt_pepper,0.01,0.812,0.843697317082039,0.8119999999999998,0.8070802282342227,CNN
salt_pepper,0.05,0.17206896551724138,0.7296019514462596,0.17206896551724138,0.1517628312709162,CNN
salt_pepper,0.1,0.04896551724137931,0.11083302847676786,0.048965517241379306,0.010050269078607534,CNN
blur,1.0,0.7640689655172413,0.8968329219388198,0.7640689655172413,0.776521600604995,CNN
blur,3.0,0.2930344827586207,0.6668115146429089,0.2930344827586207,0.30078325317073507,CNN
blur,5.0,0.18262068965517242,0.5816712640305716,0.18262068965517245,0.1802357300580788,CNN
gaussian,0.01,0.2706896551724138,0.6679939175011688,0.27068965517241383,0.31010407569694154,Liquid_CNN
gaussian,0.05,0.25862068965517243,0.5221798872624973,0.25862068965517243,0.21301307097917854,Liquid_CNN
gaussian,0.1,0.07689655172413794,0.23919991819764364,0.07689655172413792,0.05207722993842679,Liquid_CNN
salt_pepper,0.01,0.7702758620689655,0.8437422900625113,0.7702758620689656,0.7669439013036418,Liquid_CNN
salt_pepper,0.05,0.3473793103448276,0.7056695913501565,0.3473793103448275,0.31510138668608856,Liquid_CNN
salt_pepper,0.1,0.10558620689655172,0.44948122438020766,0.10558620689655172,0.0849448849278898,Liquid_CNN
blur,1.0,0.7540689655172413,0.9154822811383359,0.7540689655172413,0.7794384183640638,Liquid_CNN
blur,3.0,0.20006896551724138,0.6955964596228355,0.20006896551724138,0.22560212173824787,Liquid_CNN
blur,5.0,0.06786206896551725,0.3730540300071162,0.06786206896551725,0.05695732533950855,Liquid_CNN
gaussian,0.01,0.11827586206896552,0.14085771068129668,0.11827586206896552,0.09282205859941704,ViT
gaussian,0.05,0.11889655172413793,0.14745813553458276,0.11889655172413793,0.09368168386347157,ViT
gaussian,0.1,0.10944827586206897,0.14590619584088724,0.10944827586206897,0.0852060286940446,ViT
salt_pepper,0.01,0.6051724137931035,0.706742293151814,0.6051724137931034,0.5891051566294394,ViT
salt_pepper,0.05,0.4973103448275862,0.6319021338507608,0.4973103448275862,0.4835744813124606,ViT
salt_pepper,0.1,0.3696551724137931,0.5581417785199467,0.36965517241379314,0.35572275860925173,ViT
blur,1.0,0.6361379310344828,0.729022164209946,0.6361379310344828,0.6187865682524413,ViT
blur,3.0,0.616,0.6985841879251379,0.6160000000000001,0.5919089071678824,ViT
blur,5.0,0.5822068965517241,0.6664155873867803,0.5822068965517242,0.5583644129465016,ViT
